Variable,Mean (train/final),Std (train/final)
DP01,12.147620010787486,3.034693385155754
DX32,9.661340345199568,7.82779236890458
PRCP,3.8637607874865156,1.4730200706683627
SNOW,14.870745685005394,12.198340362053608
TAVG,28.34373988673139,9.366112179500425
left_shoulder_width,7.114077669902913,3.137695147325315
num_lanes,2.1434061488673137,0.35048655514064975
paved_shoulder,14.287756202804747,0.8509408669921807
right_shoulder_width,7.1736785329018335,3.1148092099610625
segment_length,0.4996203141855448,0.6092126912462688
speed,69.15469929881337,4.459488496710946
